# Printing path from GOAL to SOURCE
# Time elapsed by A* Algorithm 847.788223s 
# Time elapsed reading binary file 0.725454s
# Total time elapsed 849.393078s
# Iteration | Node Id | Distance | latitude | long
     |  195977239 |   0.00 | 37.386099 | -5.991742
   1 | 1343113412 |   0.00 | 37.386050 | -5.991846
   2 |  244012112 |   0.00 | 37.385896 | -5.992173
   3 |  244012111 |   0.00 | 37.385663 | -5.992236
   4 |  244012094 |   0.00 | 37.385268 | -5.991937
   5 |  710632991 |   0.00 | 37.385233 | -5.992283
   6 |  244012093 |   0.00 | 37.385172 | -5.992892
   7 |  710632987 |   0.00 | 37.385122 | -5.992871
   8 |  710632973 |   0.00 | 37.384798 | -5.993802
   9 |  710632972 |   0.00 | 37.384042 | -5.993665
  10 |  710632970 |   0.00 | 37.383710 | -5.993581
  11 |  691013680 |   0.00 | 37.382900 | -5.993430
  12 |  691013678 |   0.00 | 37.382935 | -5.993646
  13 |  691013656 |   0.00 | 37.382229 | -5.993936
  14 |  691013666 |   0.00 | 37.382170 | -5.993519
  15 |  244011716 |   0.00 | 37.382142 | -5.993576
  16 |  205379521 |   0.00 | 37.381374 | -5.995211
  17 |  294603783 |   0.00 | 37.381188 | -5.995556
  18 | 1288331247 |   0.00 | 37.381164 | -5.995601
  19 | 1288331246 |   0.00 | 37.381153 | -5.995622
  20 |  294603785 |   0.00 | 37.380391 | -5.997079
  21 |  297892622 |   0.00 | 37.380341 | -5.997168
  22 |  263189717 |   0.00 | 37.380182 | -5.997498
  23 |  263189718 |   0.00 | 37.380271 | -5.997652
  24 |  348138625 |   0.00 | 37.380424 | -5.997655
  25 |  348138539 |   0.00 | 37.380589 | -5.997621
  26 |  348138624 |   0.00 | 37.380795 | -5.997591
  27 |  297892623 |   0.00 | 37.380967 | -5.997696
  28 |  324816228 |   0.00 | 37.381836 | -5.998453
  29 |  348135957 |   0.00 | 37.382361 | -5.998902
  30 |  348134888 |   0.00 | 37.383242 | -5.999640
  31 |  324815974 |   0.00 | 37.384014 | -6.000502
  32 |  324816898 |   0.00 | 37.384815 | -6.001648
  33 |  324815973 |   0.00 | 37.385058 | -6.001995
