# Printing path from GOAL to SOURCE
# Time elapsed by A* Algorithm 6.782010s 
# Time elapsed reading binary file 0.615873s
# Total time elapsed 8.249165s
# Iteration | Node Id | Distance | latitude | long
     |  195977239 | 959883.53 | 37.386099 | -5.991742
   1 |  710632992 | 959874.06 | 37.386164 | -5.991812
   2 | 1344516329 | 959871.40 | 37.386182 | -5.991830
   3 |  195977236 | 959854.31 | 37.386303 | -5.991949
   4 |  195977234 | 959812.30 | 37.386344 | -5.992421
   5 |  195977233 | 959805.15 | 37.386378 | -5.992490
   6 |  195977231 | 959761.01 | 37.386773 | -5.992539
   7 |  197992436 | 959750.65 | 37.386844 | -5.992463
   8 |  197992437 | 959713.36 | 37.387179 | -5.992448
   9 |  195979462 | 959683.15 | 37.387450 | -5.992462
  10 |  195987187 | 959642.96 | 37.387779 | -5.992649
  11 |  195987188 | 959615.75 | 37.388006 | -5.992763
  12 |  813726741 | 959606.44 | 37.388090 | -5.992765
  13 |  195986624 | 959568.67 | 37.388429 | -5.992773
  14 |  195986625 | 959550.62 | 37.388589 | -5.992741
  15 |  195991151 | 959528.40 | 37.388772 | -5.992641
  16 |  195986626 | 959513.05 | 37.388906 | -5.992601
  17 |  195986628 | 959482.56 | 37.389179 | -5.992569
  18 |  195986629 | 959457.76 | 37.389402 | -5.992561
  19 |  195986631 | 959414.76 | 37.389745 | -5.992338
  20 |  192049103 | 959405.04 | 37.389830 | -5.992313
  21 |  192046124 | 959373.65 | 37.390109 | -5.992258
  22 |  192045455 | 959357.84 | 37.390249 | -5.992231
  23 |  192044661 | 959345.61 | 37.390358 | -5.992210
  24 |  196078867 | 959341.12 | 37.390369 | -5.992161
  25 |  196079272 | 959306.03 | 37.390683 | -5.992126
  26 |  196079273 | 959296.77 | 37.390719 | -5.992032
  27 |  196079276 | 959281.50 | 37.390853 | -5.991996
  28 |  196079277 | 959270.95 | 37.390855 | -5.991876
  29 |  196079279 | 959251.53 | 37.391028 | -5.991903
  30 |  196079280 | 959230.65 | 37.391089 | -5.991680
  31 |  192042752 | 959219.17 | 37.391189 | -5.991646
  32 |  192042750 | 959189.34 | 37.391159 | -5.991311
  33 |  192042202 | 959171.77 | 37.391138 | -5.991114
  34 |  192036317 | 959156.53 | 37.391275 | -5.991114
  35 |  192036314 | 959115.83 | 37.391623 | -5.990975
  36 |  192036313 | 959107.51 | 37.391681 | -5.991035
  37 |  192036312 | 959100.58 | 37.391698 | -5.991110
  38 |  192036310 | 959079.29 | 37.391887 | -5.991069
  39 |  192036308 | 959051.04 | 37.392136 | -5.991010
  40 |  192040949 | 959042.10 | 37.392209 | -5.990968
  41 |  440230374 | 959014.36 | 37.392268 | -5.990663
  42 |  440230392 | 959001.62 | 37.392354 | -5.990569
  43 |  440230368 | 958977.25 | 37.392563 | -5.990486
  44 |  195968314 | 958968.11 | 37.392540 | -5.990386
  45 |  195970143 | 958936.65 | 37.392451 | -5.990049
  46 |  813726761 | 958921.79 | 37.392449 | -5.989881
  47 |  813726797 | 958916.21 | 37.392456 | -5.989818
  48 |  206396056 | 958796.31 | 37.393512 | -5.989546
  49 |  206396058 | 958718.38 | 37.394163 | -5.989225
  50 |  206396059 | 958673.36 | 37.394526 | -5.988999
  51 |  307743882 | 958653.30 | 37.394636 | -5.988819
  52 |  206396060 | 958614.51 | 37.394849 | -5.988472
  53 |  835459078 | 958610.93 | 37.394849 | -5.988431
  54 |  835459077 | 958605.23 | 37.394849 | -5.988367
  55 |  206396061 | 958567.93 | 37.394849 | -5.987945
  56 |  206396100 | 958535.92 | 37.394813 | -5.987586
  57 |  206396102 | 958497.78 | 37.394801 | -5.987155
  58 |  206396103 | 958475.20 | 37.394837 | -5.986904
  59 |  234635918 | 958446.17 | 37.394859 | -5.986577
  60 |  307740439 | 958436.84 | 37.394914 | -5.986497
  61 |  234636509 | 958423.93 | 37.394989 | -5.986386
  62 |  234635868 | 958388.46 | 37.395180 | -5.986065
  63 |  828193972 | 958380.41 | 37.395219 | -5.985988
  64 |  234635836 | 958375.68 | 37.395241 | -5.985942
  65 |  234635814 | 958322.76 | 37.395539 | -5.985476
  66 |  234635803 | 958300.80 | 37.395685 | -5.985308
  67 |  804426761 | 958285.46 | 37.395799 | -5.985211
  68 |  234635798 | 958240.29 | 37.396135 | -5.984926
  69 |  234635794 | 958179.00 | 37.396617 | -5.984590
  70 |  234635788 | 958136.16 | 37.396946 | -5.984338
  71 |  234635779 | 958097.62 | 37.397244 | -5.984116
  72 |  234635770 | 958065.22 | 37.397488 | -5.983917
  73 |  234636303 | 958043.48 | 37.397664 | -5.983810
  74 |  234638227 | 958008.58 | 37.397794 | -5.984169
  75 |  234638206 | 957929.35 | 37.398451 | -5.983826
  76 |  234638185 | 957889.22 | 37.398810 | -5.983864
  77 |  828488085 | 957806.81 | 37.399469 | -5.983439
  78 | 1288232911 | 957771.62 | 37.399321 | -5.983088
  79 | 1288232913 | 957759.07 | 37.399422 | -5.983025
  80 | 1288232912 | 957748.31 | 37.399508 | -5.982970
  81 | 1288232910 | 957743.54 | 37.399489 | -5.982922
  82 |  819727307 | 957737.79 | 37.399502 | -5.982859
  83 |  819726930 | 957517.05 | 37.401367 | -5.982012
  84 |  819727016 | 957416.61 | 37.402211 | -5.981608
  85 |  819727092 | 957372.52 | 37.402586 | -5.981447
  86 |  819727153 | 957302.99 | 37.403166 | -5.981156
  87 | 1288231121 | 957294.07 | 37.403241 | -5.981121
  88 |  307800694 | 957290.37 | 37.403243 | -5.981079
  89 |  311404363 | 957265.37 | 37.403453 | -5.980976
  90 |  307801843 | 957260.49 | 37.403493 | -5.980956
  91 |  311404377 | 957247.88 | 37.403599 | -5.980905
  92 | 1279814932 | 957239.51 | 37.403669 | -5.980870
  93 |  249801463 | 957204.42 | 37.403963 | -5.980727
  94 |  249801459 | 957156.75 | 37.404362 | -5.980531
  95 |  307807916 | 957112.62 | 37.404731 | -5.980350
  96 |  307802088 | 957070.02 | 37.405089 | -5.980180
  97 |  810358898 | 956992.61 | 37.405729 | -5.979835
  98 |  307809154 | 956975.40 | 37.405871 | -5.979759
  99 |  819726958 | 956971.82 | 37.405860 | -5.979721
 100 |  819727041 | 956862.49 | 37.406757 | -5.979218
 101 |  819727042 | 956806.19 | 37.407221 | -5.978966
 102 |  819726936 | 956795.41 | 37.407220 | -5.978844
 103 | 1123226666 | 956780.60 | 37.407328 | -5.978746
 104 |  819727288 | 956769.01 | 37.407413 | -5.978670
 105 |  819727211 | 956754.48 | 37.407542 | -5.978693
